District,Rank,Crime_Type,Total_Cases,Pct_of_District_Total
Deoria,5,Crimes Against SCs,944,2.0
Etah,1,IPC Crimes,28085,53.1
Etah,2,SLL Crimes,19486,36.8
Etah,3,Crimes Against Women,3148,5.9
Etah,4,Crimes Against SCs,882,1.7
Etah,5,Crimes Against Children,749,1.4
Etawah,1,SLL Crimes,22279,19.7
Etawah,2,IPC Crimes,21296,18.9
Etawah,3,Assault,8025,7.1
Etawah,4,Burglary,7152,6.3
Etawah,5,Theft,6909,6.1
Faizabad,1,IPC Crimes,2746,51.8
Faizabad,2,SLL Crimes,1805,34.1
Faizabad,3,Crimes Against Women,440,8.3
Faizabad,4,Crimes Against SCs,173,3.3
Faizabad,5,Crimes Against Children,133,2.5
Fatehgarh,1,SLL Crimes,54773,67.7
Fatehgarh,2,IPC Crimes,19527,24.2
Fatehgarh,3,Crimes Against Women,3807,4.7
Fatehgarh,4,Crimes Against Children,1573,1.9
Fatehgarh,5,Crimes Against SCs,601,0.7
Fatehpur,1,IPC Crimes,24452,44.7
Fatehpur,2,SLL Crimes,21208,38.7
Fatehpur,3,Crimes Against Women,4041,7.4
Fatehpur,4,Crimes Against Children,2505,4.6
Fatehpur,5,Crimes Against SCs,960,1.8
Firozabad,1,IPC Crimes,43381,30.5
Firozabad,2,SLL Crimes,25850,18.2
Firozabad,3,Crimes Against Women,8751,6.1
Firozabad,4,Cybercrime,7568,5.3
Firozabad,5,Theft,7184,5.0
G. R. P.,1,IPC Crimes,8293,74.9
G. R. P.,2,SLL Crimes,2625,23.7
G. R. P.,3,Crimes Against Women,109,1.0
G. R. P.,4,Crimes Against Children,36,0.3
G. R. P.,5,Crimes Against SCs,9,0.1
Gautambudh Nagar,1,IPC Crimes,71315,51.9
Gautambudh Nagar,2,SLL Crimes,48640,35.4
Gautambudh Nagar,3,Cyber Crimes,6754,4.9
Gautambudh Nagar,4,Crimes Against Women,6048,4.4
Gautambudh Nagar,5,Missing Persons,2801,2.0
Ghaziabad,1,IPC Crimes,97706,43.5
Ghaziabad,2,SLL Crimes,44339,19.7
Ghaziabad,3,Crimes Against Women,9291,4.1
Ghaziabad,4,Burglary,7789,3.5
Ghaziabad,5,Rape,7097,3.2
Ghazipur,1,IPC Crimes,29777,53.5
Ghazipur,2,SLL Crimes,15198,27.3
Ghazipur,3,Crimes Against Women,4873,8.7
Ghazipur,4,Crimes Against Children,2621,4.7
Ghazipur,5,Crimes Against SCs,1431,2.6
Gonda,1,IPC Crimes,26034,42.8
Gonda,2,SLL Crimes,25761,42.3
Gonda,3,Crimes Against Women,4844,8.0
Gonda,4,Crimes Against SCs,1802,3.0
Gonda,5,Crimes Against Children,1436,2.4
Gorakhpur,1,IPC Crimes,67316,36.7
Gorakhpur,2,SLL Crimes,37956,20.7
Gorakhpur,3,Crimes Against Women,11196,6.1
Gorakhpur,4,Fraud,7331,4.0
Gorakhpur,5,Rape,7087,3.9
Hamirpur,1,SLL Crimes,19048,48.6
Hamirpur,2,IPC Crimes,14615,37.3
Hamirpur,3,Crimes Against Women,2632,6.7
Hamirpur,4,Crimes Against Children,1135,2.9
Hamirpur,5,Crimes Against SCs,951,2.4
Hapur,1,SLL Crimes,22622,46.8
Hapur,2,IPC Crimes,19849,41.1
Hapur,3,Crimes Against Women,3715,7.7
Hapur,4,Crimes Against Children,997,2.1
Hapur,5,Crimes Against SCs,419,0.9
Hardoi,1,IPC Crimes,43526,46.7
Hardoi,2,SLL Crimes,39368,42.3
Hardoi,3,Crimes Against Women,6267,6.7
Hardoi,4,Crimes Against Children,1812,1.9
Hardoi,5,Crimes Against SCs,1537,1.7
Hathras,1,SLL Crimes,21622,45.8
Hathras,2,IPC Crimes,18806,39.8
Hathras,3,Crimes Against Women,3980,8.4
Hathras,4,Crimes Against Children,1715,3.6
Hathras,5,Crimes Against SCs,618,1.3
Jalaun,1,SLL Crimes,22261,50.4
Jalaun,2,IPC Crimes,16404,37.1
Jalaun,3,Crimes Against Women,2953,6.7
