District,Year,Crime_Type,Total,Source
Gorakhpur,2016,Crimes Against STs,3,NCRB
Hamirpur,2016,Crimes Against STs,57,NCRB
Hapur,2016,Crimes Against STs,0,NCRB
Hardoi,2016,Crimes Against STs,0,NCRB
Hathras,2016,Crimes Against STs,0,NCRB
Jalaun,2016,Crimes Against STs,1,NCRB
Jaunpur,2016,Crimes Against STs,8,NCRB
Jhansi,2016,Crimes Against STs,6,NCRB
Kannauj,2016,Crimes Against STs,0,NCRB
Kanpur Dehat,2016,Crimes Against STs,6,NCRB
Kanpur Nagar,2016,Crimes Against STs,0,NCRB
Kasganj,2016,Crimes Against STs,0,NCRB
Kaushambi,2016,Crimes Against STs,9,NCRB
Khiri,2016,Crimes Against STs,0,NCRB
Kushi Nagar,2016,Crimes Against STs,8,NCRB
Lalitpur,2016,Crimes Against STs,2,NCRB
Lucknow,2016,Crimes Against STs,112,NCRB
Maharajganj,2016,Crimes Against STs,0,NCRB
Mahoba,2016,Crimes Against STs,3,NCRB
Mainpuri,2016,Crimes Against STs,2,NCRB
Mathura,2016,Crimes Against STs,4,NCRB
Mau,2016,Crimes Against STs,3,NCRB
Meerut,2016,Crimes Against STs,9,NCRB
Mirzapur,2016,Crimes Against STs,0,NCRB
Moradabad,2016,Crimes Against STs,4,NCRB
Muzaffarnagar,2016,Crimes Against STs,16,NCRB
Pilibhit,2016,Crimes Against STs,3,NCRB
Pratapgarh,2016,Crimes Against STs,0,NCRB
Raibareilly,2016,Crimes Against STs,1,NCRB
Rampur,2016,Crimes Against STs,5,NCRB
Saharanpur,2016,Crimes Against STs,40,NCRB
Sambhal,2016,Crimes Against STs,4,NCRB
Sant Kabirnagar,2016,Crimes Against STs,0,NCRB
Shahjahanpur,2016,Crimes Against STs,7,NCRB
Shamli,2016,Crimes Against STs,1,NCRB
Shrawasti,2016,Crimes Against STs,0,NCRB
Sidharthnagar,2016,Crimes Against STs,0,NCRB
Sitapur,2016,Crimes Against STs,0,NCRB
Sonbhadra,2016,Crimes Against STs,6,NCRB
Bhadohi,2016,Crimes Against STs,0,NCRB
Sultanpur,2016,Crimes Against STs,18,NCRB
Unnao,2016,Crimes Against STs,22,NCRB
Varanasi,2016,Crimes Against STs,16,NCRB
Agra,2016,Crimes Against Children,347,NCRB
Aligarh,2016,Crimes Against Children,466,NCRB
Allahabad,2016,Crimes Against Children,270,NCRB
Ambedkar Nagar,2016,Crimes Against Children,124,NCRB
Amethi,2016,Crimes Against Children,101,NCRB
Amroha,2016,Crimes Against Children,94,NCRB
Auraiya,2016,Crimes Against Children,107,NCRB
Azamgarh,2016,Crimes Against Children,165,NCRB
Badaun,2016,Crimes Against Children,289,NCRB
Baghpat,2016,Crimes Against Children,136,NCRB
Bahraich,2016,Crimes Against Children,157,NCRB
Ballia,2016,Crimes Against Children,247,NCRB
Balrampur,2016,Crimes Against Children,114,NCRB
Banda,2016,Crimes Against Children,151,NCRB
Barabanki,2016,Crimes Against Children,176,NCRB
Bareilly,2016,Crimes Against Children,422,NCRB
Basti,2016,Crimes Against Children,181,NCRB
Bijnor,2016,Crimes Against Children,298,NCRB
Bulandshahar,2016,Crimes Against Children,196,NCRB
Chandoli,2016,Crimes Against Children,124,NCRB
Chitrakoot,2016,Crimes Against Children,124,NCRB
Deoria,2016,Crimes Against Children,264,NCRB
Etah,2016,Crimes Against Children,203,NCRB
Etawah,2016,Crimes Against Children,158,NCRB
Faizabad,2016,Crimes Against Children,133,NCRB
Fatehgarh,2016,Crimes Against Children,188,NCRB
Fatehpur,2016,Crimes Against Children,264,NCRB
Firozabad,2016,Crimes Against Children,282,NCRB
G. R. P.,2016,Crimes Against Children,36,NCRB
Gautambudh Nagar,2016,Crimes Against Children,178,NCRB
Ghaziabad,2016,Crimes Against Children,257,NCRB
Ghazipur,2016,Crimes Against Children,188,NCRB
Gonda,2016,Crimes Against Children,181,NCRB
Gorakhpur,2016,Crimes Against Children,299,NCRB
Hamirpur,2016,Crimes Against Children,185,NCRB
Hapur,2016,Crimes Against Children,146,NCRB
Hardoi,2016,Crimes Against Children,181,NCRB
Hathras,2016,Crimes Against Children,148,NCRB
Jalaun,2016,Crimes Against Children,145,NCRB
Jaunpur,2016,Crimes Against Children,164,NCRB
Jhansi,2016,Crimes Against Children,143,NCRB
Kannauj,2016,Crimes Against Children,123,NCRB
Kanpur Dehat,2016,Crimes Against Children,251,NCRB
Kanpur Nagar,2016,Crimes Against Children,313,NCRB
Kasganj,2016,Crimes Against Children,163,NCRB
Kaushambi,2016,Crimes Against Children,265,NCRB
Khiri,2016,Crimes Against Children,352,NCRB
Kushi Nagar,2016,Crimes Against Children,209,NCRB
Lalitpur,2016,Crimes Against Children,92,NCRB
Lucknow,2016,Crimes Against Children,1175,NCRB
Maharajganj,2016,Crimes Against Children,185,NCRB
Mahoba,2016,Crimes Against Children,127,NCRB
Mainpuri,2016,Crimes Against Children,165,NCRB
Mathura,2016,Crimes Against Children,126,NCRB
Mau,2016,Crimes Against Children,158,NCRB
Meerut,2016,Crimes Against Children,309,NCRB
Mirzapur,2016,Crimes Against Children,78,NCRB
Moradabad,2016,Crimes Against Children,339,NCRB
Muzaffarnagar,2016,Crimes Against Children,296,NCRB
Pilibhit,2016,Crimes Against Children,202,NCRB
Pratapgarh,2016,Crimes Against Children,288,NCRB
Raibareilly,2016,Crimes Against Children,145,NCRB
Rampur,2016,Crimes Against Children,178,NCRB
Saharanpur,2016,Crimes Against Children,166,NCRB
Sambhal,2016,Crimes Against Children,205,NCRB
Sant Kabirnagar,2016,Crimes Against Children,100,NCRB
Shahjahanpur,2016,Crimes Against Children,280,NCRB
Shamli,2016,Crimes Against Children,154,NCRB
Shrawasti,2016,Crimes Against Children,50,NCRB
Sidharthnagar,2016,Crimes Against Children,126,NCRB
Sitapur,2016,Crimes Against Children,390,NCRB
Sonbhadra,2016,Crimes Against Children,94,NCRB
Bhadohi,2016,Crimes Against Children,66,NCRB
Sultanpur,2016,Crimes Against Children,130,NCRB
Unnao,2016,Crimes Against Children,388,NCRB
Varanasi,2016,Crimes Against Children,359,NCRB
Agra,2016,Crimes Against SCs,177,NCRB
Aligarh,2016,Crimes Against SCs,144,NCRB
Allahabad,2016,Crimes Against SCs,292,NCRB
Ambedkar Nagar,2016,Crimes Against SCs,132,NCRB
Amethi,2016,Crimes Against SCs,204,NCRB
Amroha,2016,Crimes Against SCs,46,NCRB
Auraiya,2016,Crimes Against SCs,172,NCRB
Azamgarh,2016,Crimes Against SCs,185,NCRB
Badaun,2016,Crimes Against SCs,87,NCRB
Baghpat,2016,Crimes Against SCs,26,NCRB
Bahraich,2016,Crimes Against SCs,221,NCRB
Ballia,2016,Crimes Against SCs,202,NCRB
Balrampur,2016,Crimes Against SCs,59,NCRB
Banda,2016,Crimes Against SCs,128,NCRB
Barabanki,2016,Crimes Against SCs,213,NCRB
Bareilly,2016,Crimes Against SCs,182,NCRB
Basti,2016,Crimes Against SCs,107,NCRB
Bijnor,2016,Crimes Against SCs,51,NCRB
Bulandshahar,2016,Crimes Against SCs,132,NCRB
Chandoli,2016,Crimes Against SCs,97,NCRB
Chitrakoot,2016,Crimes Against SCs,155,NCRB
Deoria,2016,Crimes Against SCs,90,NCRB
Etah,2016,Crimes Against SCs,53,NCRB
Etawah,2016,Crimes Against SCs,144,NCRB
Faizabad,2016,Crimes Against SCs,173,NCRB
Fatehgarh,2016,Crimes Against SCs,108,NCRB
Fatehpur,2016,Crimes Against SCs,226,NCRB
