District,Year,Crime_Type,Total,Source
Kanpur Nagar,2018,Juvenile IPC,13,NCRB
Kasganj,2018,Juvenile IPC,0,NCRB
Kaushambi,2018,Juvenile IPC,0,NCRB
Khiri,2018,Juvenile IPC,0,NCRB
Kushi Nagar,2018,Juvenile IPC,86,NCRB
Lalitpur,2018,Juvenile IPC,0,NCRB
Lucknow,2018,Juvenile IPC,68,NCRB
Maharajganj,2018,Juvenile IPC,7,NCRB
Mahoba,2018,Juvenile IPC,0,NCRB
Mainpuri,2018,Juvenile IPC,16,NCRB
Mathura,2018,Juvenile IPC,0,NCRB
Mau,2018,Juvenile IPC,0,NCRB
Meerut,2018,Juvenile IPC,0,NCRB
Mirzapur,2018,Juvenile IPC,19,NCRB
Moradabad,2018,Juvenile IPC,0,NCRB
Muzaffarnagar,2018,Juvenile IPC,0,NCRB
Pilibhit,2018,Juvenile IPC,0,NCRB
Pratapgarh,2018,Juvenile IPC,0,NCRB
Raibareilly,2018,Juvenile IPC,0,NCRB
Rampur,2018,Juvenile IPC,16,NCRB
Saharanpur,2018,Juvenile IPC,9,NCRB
Sambhal,2018,Juvenile IPC,0,NCRB
Sant Kabirnagar,2018,Juvenile IPC,0,NCRB
Shahjahanpur,2018,Juvenile IPC,0,NCRB
Shamli,2018,Juvenile IPC,13,NCRB
Shrawasti,2018,Juvenile IPC,2,NCRB
Sidharthnagar,2018,Juvenile IPC,0,NCRB
Sitapur,2018,Juvenile IPC,0,NCRB
Sonbhadra,2018,Juvenile IPC,0,NCRB
Bhadohi,2018,Juvenile IPC,19,NCRB
Sultanpur,2018,Juvenile IPC,0,NCRB
Unnao,2018,Juvenile IPC,63,NCRB
Varanasi,2018,Juvenile IPC,45,NCRB
Agra,2018,Juvenile SLL,0,NCRB
Aligarh,2018,Juvenile SLL,0,NCRB
Prayagraj,2018,Juvenile SLL,0,NCRB
Ambedkar Nagar,2018,Juvenile SLL,0,NCRB
Amethi,2018,Juvenile SLL,0,NCRB
Amroha,2018,Juvenile SLL,0,NCRB
Auraiya,2018,Juvenile SLL,5,NCRB
Azamgarh,2018,Juvenile SLL,0,NCRB
Badaun,2018,Juvenile SLL,0,NCRB
Baghpat,2018,Juvenile SLL,0,NCRB
Bahraich,2018,Juvenile SLL,0,NCRB
Ballia,2018,Juvenile SLL,0,NCRB
Balrampur,2018,Juvenile SLL,0,NCRB
Banda,2018,Juvenile SLL,0,NCRB
Barabanki,2018,Juvenile SLL,0,NCRB
Bareilly,2018,Juvenile SLL,0,NCRB
Basti,2018,Juvenile SLL,0,NCRB
Bijnor,2018,Juvenile SLL,3,NCRB
Bulandshahar,2018,Juvenile SLL,6,NCRB
Chandoli,2018,Juvenile SLL,8,NCRB
Chitrakoot,2018,Juvenile SLL,0,NCRB
Deoria,2018,Juvenile SLL,0,NCRB
Etah,2018,Juvenile SLL,0,NCRB
Etawah,2018,Juvenile SLL,17,NCRB
Ayodhya,2018,Juvenile SLL,0,NCRB
Fatehgarh,2018,Juvenile SLL,0,NCRB
Fatehpur,2018,Juvenile SLL,10,NCRB
Firozabad,2018,Juvenile SLL,3,NCRB
Gautambudh Nagar,2018,Juvenile SLL,0,NCRB
Ghaziabad,2018,Juvenile SLL,0,NCRB
Ghazipur,2018,Juvenile SLL,0,NCRB
Gonda,2018,Juvenile SLL,0,NCRB
Gorakhpur,2018,Juvenile SLL,0,NCRB
Hamirpur,2018,Juvenile SLL,0,NCRB
Hapur,2018,Juvenile SLL,3,NCRB
Hardoi,2018,Juvenile SLL,0,NCRB
Hathras,2018,Juvenile SLL,0,NCRB
Jalaun,2018,Juvenile SLL,0,NCRB
Jaunpur,2018,Juvenile SLL,0,NCRB
Jhansi,2018,Juvenile SLL,0,NCRB
Kannauj,2018,Juvenile SLL,0,NCRB
Kanpur Dehat,2018,Juvenile SLL,0,NCRB
Kanpur Nagar,2018,Juvenile SLL,0,NCRB
Kasganj,2018,Juvenile SLL,0,NCRB
Kaushambi,2018,Juvenile SLL,0,NCRB
Khiri,2018,Juvenile SLL,0,NCRB
Kushi Nagar,2018,Juvenile SLL,0,NCRB
Lalitpur,2018,Juvenile SLL,0,NCRB
Lucknow,2018,Juvenile SLL,17,NCRB
Maharajganj,2018,Juvenile SLL,21,NCRB
Mahoba,2018,Juvenile SLL,0,NCRB
Mainpuri,2018,Juvenile SLL,0,NCRB
Mathura,2018,Juvenile SLL,0,NCRB
Mau,2018,Juvenile SLL,0,NCRB
Meerut,2018,Juvenile SLL,0,NCRB
Mirzapur,2018,Juvenile SLL,1,NCRB
Moradabad,2018,Juvenile SLL,0,NCRB
Muzaffarnagar,2018,Juvenile SLL,0,NCRB
Pilibhit,2018,Juvenile SLL,0,NCRB
Pratapgarh,2018,Juvenile SLL,0,NCRB
Raibareilly,2018,Juvenile SLL,0,NCRB
Rampur,2018,Juvenile SLL,6,NCRB
Saharanpur,2018,Juvenile SLL,3,NCRB
Sambhal,2018,Juvenile SLL,0,NCRB
Sant Kabirnagar,2018,Juvenile SLL,0,NCRB
Shahjahanpur,2018,Juvenile SLL,0,NCRB
Shamli,2018,Juvenile SLL,4,NCRB
Shrawasti,2018,Juvenile SLL,0,NCRB
Sidharthnagar,2018,Juvenile SLL,0,NCRB
Sitapur,2018,Juvenile SLL,0,NCRB
Sonbhadra,2018,Juvenile SLL,0,NCRB
Bhadohi,2018,Juvenile SLL,0,NCRB
Sultanpur,2018,Juvenile SLL,0,NCRB
Unnao,2018,Juvenile SLL,0,NCRB
Varanasi,2018,Juvenile SLL,11,NCRB
Agra,2019,IPC Crimes,9899,NCRB
Aligarh,2019,IPC Crimes,7047,NCRB
Prayagraj,2019,IPC Crimes,16218,NCRB
Ambedkar Nagar,2019,IPC Crimes,3181,NCRB
Amethi,2019,IPC Crimes,3580,NCRB
Amroha,2019,IPC Crimes,2779,NCRB
Auraiya,2019,IPC Crimes,2494,NCRB
Azamgarh,2019,IPC Crimes,4207,NCRB
Badaun,2019,IPC Crimes,3247,NCRB
Baghpat,2019,IPC Crimes,2655,NCRB
Bahraich,2019,IPC Crimes,7061,NCRB
Ballia,2019,IPC Crimes,1504,NCRB
Balrampur,2019,IPC Crimes,1698,NCRB
Banda,2019,IPC Crimes,1746,NCRB
Barabanki,2019,IPC Crimes,6257,NCRB
Bareilly,2019,IPC Crimes,8051,NCRB
Basti,2019,IPC Crimes,2168,NCRB
Bijnor,2019,IPC Crimes,3849,NCRB
Bulandshahar,2019,IPC Crimes,6371,NCRB
Chandoli,2019,IPC Crimes,2194,NCRB
Chitrakoot,2019,IPC Crimes,1164,NCRB
Deoria,2019,IPC Crimes,2797,NCRB
Etah,2019,IPC Crimes,4029,NCRB
Etawah,2019,IPC Crimes,2392,NCRB
Ayodhya,2019,IPC Crimes,5406,NCRB
Fatehgarh,2019,IPC Crimes,2364,NCRB
Fatehpur,2019,IPC Crimes,2943,NCRB
Firozabad,2019,IPC Crimes,4557,NCRB
Gautambudh Nagar,2019,IPC Crimes,12792,NCRB
Ghaziabad,2019,IPC Crimes,12690,NCRB
Ghazipur,2019,IPC Crimes,3144,NCRB
Gonda,2019,IPC Crimes,3012,NCRB
Gorakhpur,2019,IPC Crimes,7187,NCRB
Hamirpur,2019,IPC Crimes,1458,NCRB
Hapur,2019,IPC Crimes,2494,NCRB
Hardoi,2019,IPC Crimes,6583,NCRB
Hathras,2019,IPC Crimes,2440,NCRB
Jalaun,2019,IPC Crimes,2826,NCRB
Jaunpur,2019,IPC Crimes,7792,NCRB
Jhansi,2019,IPC Crimes,3623,NCRB
Kannauj,2019,IPC Crimes,2306,NCRB
Kanpur Dehat,2019,IPC Crimes,4494,NCRB
Kanpur Nagar,2019,IPC Crimes,10071,NCRB
Kasganj,2019,IPC Crimes,2187,NCRB
Kaushambi,2019,IPC Crimes,2223,NCRB
Khiri,2019,IPC Crimes,7553,NCRB
Kushi Nagar,2019,IPC Crimes,3406,NCRB
Lalitpur,2019,IPC Crimes,1396,NCRB
Lucknow,2019,IPC Crimes,19975,NCRB
Maharajganj,2019,IPC Crimes,1820,NCRB
Mahoba,2019,IPC Crimes,935,NCRB
Mainpuri,2019,IPC Crimes,2885,NCRB
Mathura,2019,IPC Crimes,6799,NCRB
Mau,2019,IPC Crimes,3125,NCRB
Meerut,2019,IPC Crimes,10644,NCRB
Mirzapur,2019,IPC Crimes,2272,NCRB
Moradabad,2019,IPC Crimes,4781,NCRB
Muzaffarnagar,2019,IPC Crimes,4432,NCRB
Pilibhit,2019,IPC Crimes,3035,NCRB
Pratapgarh,2019,IPC Crimes,4541,NCRB
Raibareilly,2019,IPC Crimes,6775,NCRB
Rampur,2019,IPC Crimes,2817,NCRB
Saharanpur,2019,IPC Crimes,4033,NCRB
Sambhal,2019,IPC Crimes,2640,NCRB
Sant Kabirnagar,2019,IPC Crimes,1304,NCRB
Shahjahanpur,2019,IPC Crimes,4866,NCRB
Shamli,2019,IPC Crimes,1645,NCRB
Shrawasti,2019,IPC Crimes,951,NCRB
Sidharthnagar,2019,IPC Crimes,1377,NCRB
Sitapur,2019,IPC Crimes,7671,NCRB
Sonbhadra,2019,IPC Crimes,1894,NCRB
Bhadohi,2019,IPC Crimes,1272,NCRB
Sultanpur,2019,IPC Crimes,7433,NCRB
Unnao,2019,IPC Crimes,4496,NCRB
Varanasi,2019,IPC Crimes,10614,NCRB
Agra,2019,Missing Persons,0,NCRB
Aligarh,2019,Missing Persons,0,NCRB
Prayagraj,2019,Missing Persons,0,NCRB
Ambedkar Nagar,2019,Missing Persons,0,NCRB
Amethi,2019,Missing Persons,0,NCRB
Amroha,2019,Missing Persons,0,NCRB
Auraiya,2019,Missing Persons,0,NCRB
Azamgarh,2019,Missing Persons,0,NCRB
Badaun,2019,Missing Persons,0,NCRB
Baghpat,2019,Missing Persons,0,NCRB
Bahraich,2019,Missing Persons,0,NCRB
Ballia,2019,Missing Persons,0,NCRB
Balrampur,2019,Missing Persons,0,NCRB
Banda,2019,Missing Persons,0,NCRB
Barabanki,2019,Missing Persons,0,NCRB
Bareilly,2019,Missing Persons,0,NCRB
Basti,2019,Missing Persons,0,NCRB
Bijnor,2019,Missing Persons,0,NCRB
Bulandshahar,2019,Missing Persons,0,NCRB
Chandoli,2019,Missing Persons,0,NCRB
Chitrakoot,2019,Missing Persons,0,NCRB
Deoria,2019,Missing Persons,0,NCRB
Etah,2019,Missing Persons,0,NCRB
Etawah,2019,Missing Persons,0,NCRB
Ayodhya,2019,Missing Persons,0,NCRB
Fatehgarh,2019,Missing Persons,0,NCRB
Fatehpur,2019,Missing Persons,0,NCRB
Firozabad,2019,Missing Persons,0,NCRB
Gautambudh Nagar,2019,Missing Persons,0,NCRB
Ghaziabad,2019,Missing Persons,0,NCRB
Ghazipur,2019,Missing Persons,0,NCRB
Gonda,2019,Missing Persons,0,NCRB
Gorakhpur,2019,Missing Persons,0,NCRB
Hamirpur,2019,Missing Persons,0,NCRB
Hapur,2019,Missing Persons,0,NCRB
Hardoi,2019,Missing Persons,0,NCRB
Hathras,2019,Missing Persons,0,NCRB
Jalaun,2019,Missing Persons,0,NCRB
Jaunpur,2019,Missing Persons,0,NCRB
Jhansi,2019,Missing Persons,0,NCRB
Kannauj,2019,Missing Persons,0,NCRB
Kanpur Dehat,2019,Missing Persons,0,NCRB
Kanpur Nagar,2019,Missing Persons,0,NCRB
Kasganj,2019,Missing Persons,0,NCRB
Kaushambi,2019,Missing Persons,0,NCRB
Khiri,2019,Missing Persons,0,NCRB
Kushi Nagar,2019,Missing Persons,0,NCRB
Lalitpur,2019,Missing Persons,0,NCRB
Lucknow,2019,Missing Persons,0,NCRB
Maharajganj,2019,Missing Persons,0,NCRB
Mahoba,2019,Missing Persons,0,NCRB
Mainpuri,2019,Missing Persons,0,NCRB
Mathura,2019,Missing Persons,0,NCRB
Mau,2019,Missing Persons,0,NCRB
Meerut,2019,Missing Persons,0,NCRB
Mirzapur,2019,Missing Persons,0,NCRB
Moradabad,2019,Missing Persons,0,NCRB
Muzaffarnagar,2019,Missing Persons,0,NCRB
Pilibhit,2019,Missing Persons,0,NCRB
Pratapgarh,2019,Missing Persons,0,NCRB
Raibareilly,2019,Missing Persons,0,NCRB
Rampur,2019,Missing Persons,0,NCRB
Saharanpur,2019,Missing Persons,0,NCRB
Sambhal,2019,Missing Persons,0,NCRB
Sant Kabirnagar,2019,Missing Persons,0,NCRB
Shahjahanpur,2019,Missing Persons,0,NCRB
Shamli,2019,Missing Persons,0,NCRB
Shrawasti,2019,Missing Persons,0,NCRB
Sidharthnagar,2019,Missing Persons,0,NCRB
Sitapur,2019,Missing Persons,0,NCRB
Sonbhadra,2019,Missing Persons,0,NCRB
Bhadohi,2019,Missing Persons,0,NCRB
Sultanpur,2019,Missing Persons,0,NCRB
Unnao,2019,Missing Persons,0,NCRB
Varanasi,2019,Missing Persons,0,NCRB
Agra,2019,SLL Crimes,6764,NCRB
Aligarh,2019,SLL Crimes,4298,NCRB
Prayagraj,2019,SLL Crimes,6199,NCRB
Ambedkar Nagar,2019,SLL Crimes,1104,NCRB
Amethi,2019,SLL Crimes,1389,NCRB
Amroha,2019,SLL Crimes,2839,NCRB
Auraiya,2019,SLL Crimes,2877,NCRB
Azamgarh,2019,SLL Crimes,2069,NCRB
Badaun,2019,SLL Crimes,3746,NCRB
Baghpat,2019,SLL Crimes,2363,NCRB
Bahraich,2019,SLL Crimes,2867,NCRB
Ballia,2019,SLL Crimes,1931,NCRB
Balrampur,2019,SLL Crimes,1311,NCRB
Banda,2019,SLL Crimes,1792,NCRB
Barabanki,2019,SLL Crimes,3673,NCRB
Bareilly,2019,SLL Crimes,13294,NCRB
Basti,2019,SLL Crimes,2580,NCRB
Bijnor,2019,SLL Crimes,5644,NCRB
Bulandshahar,2019,SLL Crimes,6086,NCRB
Chandoli,2019,SLL Crimes,1070,NCRB
Chitrakoot,2019,SLL Crimes,1017,NCRB
Deoria,2019,SLL Crimes,2258,NCRB
Etah,2019,SLL Crimes,2573,NCRB
Etawah,2019,SLL Crimes,2978,NCRB
Ayodhya,2019,SLL Crimes,3278,NCRB
Fatehgarh,2019,SLL Crimes,2584,NCRB
Fatehpur,2019,SLL Crimes,2621,NCRB
Firozabad,2019,SLL Crimes,3706,NCRB
Gautambudh Nagar,2019,SLL Crimes,10314,NCRB
Ghaziabad,2019,SLL Crimes,7280,NCRB
Ghazipur,2019,SLL Crimes,1864,NCRB
Gonda,2019,SLL Crimes,3899,NCRB
Gorakhpur,2019,SLL Crimes,4426,NCRB
Hamirpur,2019,SLL Crimes,2328,NCRB
Hapur,2019,SLL Crimes,2682,NCRB
Hardoi,2019,SLL Crimes,10816,NCRB
Hathras,2019,SLL Crimes,1533,NCRB
Jalaun,2019,SLL Crimes,3690,NCRB
Jaunpur,2019,SLL Crimes,3488,NCRB
Jhansi,2019,SLL Crimes,3590,NCRB
Kannauj,2019,SLL Crimes,2233,NCRB
Kanpur Dehat,2019,SLL Crimes,8285,NCRB
Kanpur Nagar,2019,SLL Crimes,6179,NCRB
Kasganj,2019,SLL Crimes,2628,NCRB
Kaushambi,2019,SLL Crimes,3381,NCRB
Khiri,2019,SLL Crimes,4514,NCRB
Kushi Nagar,2019,SLL Crimes,2623,NCRB
Lalitpur,2019,SLL Crimes,1741,NCRB
Lucknow,2019,SLL Crimes,6970,NCRB
Maharajganj,2019,SLL Crimes,3278,NCRB
Mahoba,2019,SLL Crimes,1793,NCRB
Mainpuri,2019,SLL Crimes,3095,NCRB
Mathura,2019,SLL Crimes,4209,NCRB
Mau,2019,SLL Crimes,1924,NCRB
Meerut,2019,SLL Crimes,6227,NCRB
Mirzapur,2019,SLL Crimes,1385,NCRB
Moradabad,2019,SLL Crimes,4911,NCRB
Muzaffarnagar,2019,SLL Crimes,4937,NCRB
Pilibhit,2019,SLL Crimes,2431,NCRB
Pratapgarh,2019,SLL Crimes,2547,NCRB
Raibareilly,2019,SLL Crimes,3245,NCRB
Rampur,2019,SLL Crimes,5571,NCRB
Saharanpur,2019,SLL Crimes,7510,NCRB
Sambhal,2019,SLL Crimes,2568,NCRB
Sant Kabirnagar,2019,SLL Crimes,1891,NCRB
Shahjahanpur,2019,SLL Crimes,5397,NCRB
Shamli,2019,SLL Crimes,4285,NCRB
Shrawasti,2019,SLL Crimes,933,NCRB
Sidharthnagar,2019,SLL Crimes,2325,NCRB
Sitapur,2019,SLL Crimes,4233,NCRB
Sonbhadra,2019,SLL Crimes,1773,NCRB
Bhadohi,2019,SLL Crimes,615,NCRB
Sultanpur,2019,SLL Crimes,1781,NCRB
Unnao,2019,SLL Crimes,2493,NCRB
Varanasi,2019,SLL Crimes,2709,NCRB
Agra,2019,Crimes Against Women,1542,NCRB
Aligarh,2019,Crimes Against Women,1598,NCRB
Prayagraj,2019,Crimes Against Women,2149,NCRB
Ambedkar Nagar,2019,Crimes Against Women,464,NCRB
Amethi,2019,Crimes Against Women,459,NCRB
Amroha,2019,Crimes Against Women,404,NCRB
Auraiya,2019,Crimes Against Women,569,NCRB
Azamgarh,2019,Crimes Against Women,878,NCRB
Badaun,2019,Crimes Against Women,577,NCRB
Baghpat,2019,Crimes Against Women,422,NCRB
Bahraich,2019,Crimes Against Women,1124,NCRB
Ballia,2019,Crimes Against Women,543,NCRB
Balrampur,2019,Crimes Against Women,303,NCRB
Banda,2019,Crimes Against Women,441,NCRB
Barabanki,2019,Crimes Against Women,809,NCRB
Bareilly,2019,Crimes Against Women,1951,NCRB
Basti,2019,Crimes Against Women,466,NCRB
Bijnor,2019,Crimes Against Women,1084,NCRB
Bulandshahar,2019,Crimes Against Women,1271,NCRB
Chandoli,2019,Crimes Against Women,402,NCRB
Chitrakoot,2019,Crimes Against Women,258,NCRB
Deoria,2019,Crimes Against Women,239,NCRB
Etah,2019,Crimes Against Women,586,NCRB
Etawah,2019,Crimes Against Women,314,NCRB
Ayodhya,2019,Crimes Against Women,829,NCRB
Fatehgarh,2019,Crimes Against Women,472,NCRB
Fatehpur,2019,Crimes Against Women,490,NCRB
Firozabad,2019,Crimes Against Women,1112,NCRB
Gautambudh Nagar,2019,Crimes Against Women,960,NCRB
Ghaziabad,2019,Crimes Against Women,1346,NCRB
Ghazipur,2019,Crimes Against Women,651,NCRB
Gonda,2019,Crimes Against Women,838,NCRB
Gorakhpur,2019,Crimes Against Women,1440,NCRB
Hamirpur,2019,Crimes Against Women,426,NCRB
Hapur,2019,Crimes Against Women,466,NCRB
Hardoi,2019,Crimes Against Women,1372,NCRB
Hathras,2019,Crimes Against Women,626,NCRB
Jalaun,2019,Crimes Against Women,574,NCRB
Jaunpur,2019,Crimes Against Women,762,NCRB
Jhansi,2019,Crimes Against Women,671,NCRB
Kannauj,2019,Crimes Against Women,512,NCRB
Kanpur Dehat,2019,Crimes Against Women,888,NCRB
Kanpur Nagar,2019,Crimes Against Women,1884,NCRB
Kasganj,2019,Crimes Against Women,572,NCRB
Kaushambi,2019,Crimes Against Women,343,NCRB
Khiri,2019,Crimes Against Women,1110,NCRB
Kushi Nagar,2019,Crimes Against Women,562,NCRB
Lalitpur,2019,Crimes Against Women,138,NCRB
Lucknow,2019,Crimes Against Women,2922,NCRB
Maharajganj,2019,Crimes Against Women,469,NCRB
Mahoba,2019,Crimes Against Women,220,NCRB
Mainpuri,2019,Crimes Against Women,458,NCRB
Mathura,2019,Crimes Against Women,1123,NCRB
Mau,2019,Crimes Against Women,622,NCRB
Meerut,2019,Crimes Against Women,1282,NCRB
Mirzapur,2019,Crimes Against Women,401,NCRB
Moradabad,2019,Crimes Against Women,1181,NCRB
Muzaffarnagar,2019,Crimes Against Women,597,NCRB
Pilibhit,2019,Crimes Against Women,837,NCRB
Pratapgarh,2019,Crimes Against Women,684,NCRB
Raibareilly,2019,Crimes Against Women,730,NCRB
Rampur,2019,Crimes Against Women,1025,NCRB
Saharanpur,2019,Crimes Against Women,720,NCRB
Sambhal,2019,Crimes Against Women,587,NCRB
Sant Kabirnagar,2019,Crimes Against Women,300,NCRB
Shahjahanpur,2019,Crimes Against Women,969,NCRB
Shamli,2019,Crimes Against Women,340,NCRB
Shrawasti,2019,Crimes Against Women,295,NCRB
Sidharthnagar,2019,Crimes Against Women,362,NCRB
Sitapur,2019,Crimes Against Women,1765,NCRB
Sonbhadra,2019,Crimes Against Women,397,NCRB
Bhadohi,2019,Crimes Against Women,285,NCRB
Sultanpur,2019,Crimes Against Women,972,NCRB
Unnao,2019,Crimes Against Women,1003,NCRB
Varanasi,2019,Crimes Against Women,1327,NCRB
Agra,2019,Crimes Against Children,776,NCRB
Aligarh,2019,Crimes Against Children,653,NCRB
Prayagraj,2019,Crimes Against Children,395,NCRB
Ambedkar Nagar,2019,Crimes Against Children,51,NCRB
Amethi,2019,Crimes Against Children,135,NCRB
Amroha,2019,Crimes Against Children,45,NCRB
Auraiya,2019,Crimes Against Children,195,NCRB
Azamgarh,2019,Crimes Against Children,189,NCRB
Badaun,2019,Crimes Against Children,63,NCRB
Baghpat,2019,Crimes Against Children,175,NCRB
Bahraich,2019,Crimes Against Children,227,NCRB
Ballia,2019,Crimes Against Children,193,NCRB
Balrampur,2019,Crimes Against Children,146,NCRB
Banda,2019,Crimes Against Children,183,NCRB
Barabanki,2019,Crimes Against Children,454,NCRB
Bareilly,2019,Crimes Against Children,269,NCRB
Basti,2019,Crimes Against Children,173,NCRB
Bijnor,2019,Crimes Against Children,128,NCRB
Bulandshahar,2019,Crimes Against Children,375,NCRB
Chandoli,2019,Crimes Against Children,117,NCRB
Chitrakoot,2019,Crimes Against Children,59,NCRB
Deoria,2019,Crimes Against Children,347,NCRB
Etah,2019,Crimes Against Children,120,NCRB
Etawah,2019,Crimes Against Children,162,NCRB
Ayodhya,2019,Crimes Against Children,272,NCRB
Fatehgarh,2019,Crimes Against Children,249,NCRB
Fatehpur,2019,Crimes Against Children,363,NCRB
Firozabad,2019,Crimes Against Children,492,NCRB
Gautambudh Nagar,2019,Crimes Against Children,301,NCRB
Ghaziabad,2019,Crimes Against Children,881,NCRB
Ghazipur,2019,Crimes Against Children,361,NCRB
Gonda,2019,Crimes Against Children,202,NCRB
Gorakhpur,2019,Crimes Against Children,234,NCRB
Hamirpur,2019,Crimes Against Children,140,NCRB
Hapur,2019,Crimes Against Children,149,NCRB
Hardoi,2019,Crimes Against Children,483,NCRB
Hathras,2019,Crimes Against Children,307,NCRB
Jalaun,2019,Crimes Against Children,124,NCRB
Jaunpur,2019,Crimes Against Children,300,NCRB
Jhansi,2019,Crimes Against Children,195,NCRB
Kannauj,2019,Crimes Against Children,142,NCRB
Kanpur Dehat,2019,Crimes Against Children,237,NCRB
Kanpur Nagar,2019,Crimes Against Children,427,NCRB
Kasganj,2019,Crimes Against Children,278,NCRB
Kaushambi,2019,Crimes Against Children,216,NCRB
Khiri,2019,Crimes Against Children,426,NCRB
Kushi Nagar,2019,Crimes Against Children,170,NCRB
Lalitpur,2019,Crimes Against Children,36,NCRB
Lucknow,2019,Crimes Against Children,468,NCRB
Maharajganj,2019,Crimes Against Children,301,NCRB
Mahoba,2019,Crimes Against Children,117,NCRB
Mainpuri,2019,Crimes Against Children,229,NCRB
Mathura,2019,Crimes Against Children,206,NCRB
Mau,2019,Crimes Against Children,282,NCRB
Meerut,2019,Crimes Against Children,545,NCRB
Mirzapur,2019,Crimes Against Children,126,NCRB
Moradabad,2019,Crimes Against Children,479,NCRB
Muzaffarnagar,2019,Crimes Against Children,192,NCRB
Pilibhit,2019,Crimes Against Children,204,NCRB
Pratapgarh,2019,Crimes Against Children,75,NCRB
Raibareilly,2019,Crimes Against Children,125,NCRB
Rampur,2019,Crimes Against Children,98,NCRB
Saharanpur,2019,Crimes Against Children,147,NCRB
Sambhal,2019,Crimes Against Children,210,NCRB
Sant Kabirnagar,2019,Crimes Against Children,163,NCRB
Shahjahanpur,2019,Crimes Against Children,233,NCRB
Shamli,2019,Crimes Against Children,47,NCRB
Shrawasti,2019,Crimes Against Children,55,NCRB
Sidharthnagar,2019,Crimes Against Children,155,NCRB
Sitapur,2019,Crimes Against Children,620,NCRB
Sonbhadra,2019,Crimes Against Children,141,NCRB
Bhadohi,2019,Crimes Against Children,88,NCRB
Sultanpur,2019,Crimes Against Children,218,NCRB
Unnao,2019,Crimes Against Children,384,NCRB
Varanasi,2019,Crimes Against Children,394,NCRB
Agra,2019,Crimes Against SCs,173,NCRB
Aligarh,2019,Crimes Against SCs,158,NCRB
Prayagraj,2019,Crimes Against SCs,487,NCRB
Ambedkar Nagar,2019,Crimes Against SCs,175,NCRB
Amethi,2019,Crimes Against SCs,272,NCRB
Amroha,2019,Crimes Against SCs,63,NCRB
Auraiya,2019,Crimes Against SCs,146,NCRB
Azamgarh,2019,Crimes Against SCs,207,NCRB
Badaun,2019,Crimes Against SCs,103,NCRB
Baghpat,2019,Crimes Against SCs,59,NCRB
Bahraich,2019,Crimes Against SCs,246,NCRB
Ballia,2019,Crimes Against SCs,65,NCRB
Balrampur,2019,Crimes Against SCs,121,NCRB
Banda,2019,Crimes Against SCs,162,NCRB
Barabanki,2019,Crimes Against SCs,274,NCRB
Bareilly,2019,Crimes Against SCs,208,NCRB
Basti,2019,Crimes Against SCs,129,NCRB
Bijnor,2019,Crimes Against SCs,55,NCRB
Bulandshahar,2019,Crimes Against SCs,167,NCRB
Chandoli,2019,Crimes Against SCs,104,NCRB
Chitrakoot,2019,Crimes Against SCs,9,NCRB
Deoria,2019,Crimes Against SCs,116,NCRB
Etah,2019,Crimes Against SCs,115,NCRB
Etawah,2019,Crimes Against SCs,54,NCRB
Ayodhya,2019,Crimes Against SCs,216,NCRB
Fatehgarh,2019,Crimes Against SCs,0,NCRB
Fatehpur,2019,Crimes Against SCs,152,NCRB
Firozabad,2019,Crimes Against SCs,160,NCRB
Gautambudh Nagar,2019,Crimes Against SCs,48,NCRB
Ghaziabad,2019,Crimes Against SCs,94,NCRB
Ghazipur,2019,Crimes Against SCs,162,NCRB
Gonda,2019,Crimes Against SCs,245,NCRB
Gorakhpur,2019,Crimes Against SCs,283,NCRB
Hamirpur,2019,Crimes Against SCs,137,NCRB
Hapur,2019,Crimes Against SCs,39,NCRB
Hardoi,2019,Crimes Against SCs,202,NCRB
Hathras,2019,Crimes Against SCs,67,NCRB
Jalaun,2019,Crimes Against SCs,110,NCRB
Jaunpur,2019,Crimes Against SCs,338,NCRB
Jhansi,2019,Crimes Against SCs,194,NCRB
Kannauj,2019,Crimes Against SCs,95,NCRB
Kanpur Dehat,2019,Crimes Against SCs,191,NCRB
Kanpur Nagar,2019,Crimes Against SCs,296,NCRB
Kasganj,2019,Crimes Against SCs,65,NCRB
Kaushambi,2019,Crimes Against SCs,132,NCRB
Khiri,2019,Crimes Against SCs,410,NCRB
Kushi Nagar,2019,Crimes Against SCs,172,NCRB
Lalitpur,2019,Crimes Against SCs,63,NCRB
Lucknow,2019,Crimes Against SCs,468,NCRB
Maharajganj,2019,Crimes Against SCs,91,NCRB
Mahoba,2019,Crimes Against SCs,96,NCRB
Mainpuri,2019,Crimes Against SCs,132,NCRB
Mathura,2019,Crimes Against SCs,35,NCRB
Mau,2019,Crimes Against SCs,94,NCRB
Meerut,2019,Crimes Against SCs,134,NCRB
Mirzapur,2019,Crimes Against SCs,118,NCRB
Moradabad,2019,Crimes Against SCs,75,NCRB
Muzaffarnagar,2019,Crimes Against SCs,51,NCRB
Pilibhit,2019,Crimes Against SCs,141,NCRB
Pratapgarh,2019,Crimes Against SCs,295,NCRB
Raibareilly,2019,Crimes Against SCs,315,NCRB
Rampur,2019,Crimes Against SCs,50,NCRB
Saharanpur,2019,Crimes Against SCs,105,NCRB
Sambhal,2019,Crimes Against SCs,58,NCRB
Sant Kabirnagar,2019,Crimes Against SCs,78,NCRB
Shahjahanpur,2019,Crimes Against SCs,236,NCRB
